theme,branch,path,status,note
mlr-datasets,master,_includes/paper_abstract.html,IDENTICAL,
mlr-datasets,master,_includes/cite-as.html,DIFFERS,
mlr-datasets,master,_includes/listpaper.html,DIFFERS,
mlr-datasets,master,_includes/listauthors.html,IDENTICAL,
mlr-datasets,master,_includes/seo-info.html,IDENTICAL,
mlr-datasets,master,_includes/extractinfo_publication.html,DIFFERS,
mlr-datasets,master,_includes/extractname.html,MISSING,
mlr-datasets,master,_includes/copy_sections.html,DIFFERS,
mlr-datasets,master,_includes/bibtex_copy_section.html,IDENTICAL,
mlr-datasets,master,_includes/apa_copy_section.html,IDENTICAL,
mlr-datasets,master,_includes/ris_copy_section.html,IDENTICAL,
mlr-datasets,master,_includes/endnote_copy_section.html,IDENTICAL,
mlr-datasets,master,_includes/bibtex_entry,IDENTICAL,
mlr-datasets,master,_includes/apa_entry,IDENTICAL,
mlr-datasets,master,_includes/ris_entry,IDENTICAL,
mlr-datasets,master,_includes/endnote_entry,IDENTICAL,
mlr-datasets,master,_includes/copy_buttons.html,DIFFERS,
mlr-datasets,master,_includes/hidden_copy_code.html,DIFFERS,
mlr-datasets,master,_includes/paper_google_scholar.html,DIFFERS,
mlr-datasets,master,_includes/paper_open_graph_meta.html,DIFFERS,
mlr-datasets,master,_includes/paper_twitter_meta.html,DIFFERS,
mlr-datasets,master,assets/bib/citeproc.yaml,IDENTICAL,
dalimeeting,dali,_layouts/publication.html,MISSING,
dalimeeting,dali,_layouts/article.html,DIFFERS,layout=default; body=paper_abstract.html
dalimeeting,dali,_layouts/inproceedings.html,DIFFERS,
dalimeeting,dali,_layouts/techreport.html,DIFFERS,
dalimeeting,dali,_includes/paper_authors_abstract_links.html,MISSING,
dalimeeting,dali,_includes/paper_abstract.html,DIFFERS,
dalimeeting,dali,_includes/cite-as.html,DIFFERS,
dalimeeting,dali,_includes/listpaper.html,DIFFERS,
dalimeeting,dali,_includes/listauthors.html,IDENTICAL,
dalimeeting,dali,_includes/seo-info.html,DIFFERS,
dalimeeting,dali,_includes/extractinfo_publication.html,MISSING,
dalimeeting,dali,_includes/extractname.html,MISSING,
dalimeeting,dali,_includes/copy_sections.html,DIFFERS,
dalimeeting,dali,_includes/bibtex_copy_section.html,DIFFERS,
